"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40017","canadian",1994,11,18292,85,1994-11-15,30,365,1,4.64684014869889,56.5365551425031
"40017","canadian",1994,12,18306,93,1994-12-15,31,365,1,5.08030154047853,59.8164536217634
"40017","canadian",1995,1,18321,68,1995-01-15,31,365,1,3.71158779542601,43.7009530751773
"40017","canadian",1995,2,18344,58,1995-02-15,28,365,1,3.16179677278674,41.2162793595415
"40017","canadian",1995,3,18368,78,1995-03-15,31,365,1,4.24651567944251,49.9992975160166
"40017","canadian",1995,4,18392,86,1995-04-15,30,365,1,4.67594606350587,56.8906771059881
"40017","canadian",1995,5,18416,86,1995-05-15,31,365,1,4.66985230234579,54.9837448502004
"40017","canadian",1995,6,18440,81,1995-06-15,30,365,1,4.39262472885033,53.443600867679
"40017","canadian",1995,7,18464,90,1995-07-15,31,365,1,4.87435008665511,57.3915413428747
"40017","canadian",1995,8,18488,87,1995-08-15,31,365,1,4.70575508437906,55.4064711547857
"40017","canadian",1995,9,18512,96,1995-09-15,30,365,1,5.18582541054451,63.0942091616249
"40017","canadian",1995,10,18536,94,1995-10-15,31,365,1,5.07121277514027,59.7094407395548
"40017","canadian",1995,11,18560,76,1995-11-15,30,365,1,4.0948275862069,49.8204022988506
"40017","canadian",1995,12,18584,91,1995-12-15,31,365,1,4.89668532070598,57.6545207115382
"40017","canadian",1996,1,18608,76,1996-01-15,31,366,1,4.08426483233018,48.2206751171886
"40017","canadian",1996,2,18619,63,1996-02-15,29,366,2,3.38364036736667,42.7038749812483
"40017","canadian",1996,3,18631,83,1996-03-15,31,366,2,4.45494069024744,52.5970416977601
"40017","canadian",1996,4,18642,79,1996-04-15,30,366,2,4.23774273146658,51.7004613238923
"40017","canadian",1996,5,18654,92,1996-05-15,31,366,2,4.93191808727351,58.2284522561969
"40017","canadian",1996,6,18665,81,1996-06-15,30,366,2,4.33967318510581,52.9440128582909
"40017","canadian",1996,7,18677,81,1996-07-15,31,366,2,4.33688493869465,51.2032221794272
"40017","canadian",1996,8,18689,82,1996-08-15,31,366,2,4.38760768366419,51.8020778135836
"40017","canadian",1996,9,18700,76,1996-09-15,30,366,2,4.06417112299465,49.5828877005348
"40017","canadian",1996,10,18712,89,1996-10-15,31,366,2,4.75630611372381,56.155097987836
"40017","canadian",1996,11,18723,64,1996-11-15,30,366,2,3.41825562142819,41.7027185814239
"40017","canadian",1996,12,18735,86,1996-12-15,31,366,2,4.59033893781692,54.1956145561611
"40017","canadian",1997,1,18747,75,1997-01-15,31,365,2,4.00064010241639,47.1043108832897
"40017","canadian",1997,2,18751,84,1997-02-15,28,365,2,4.4797610794091,58.39688549944
"40017","canadian",1997,3,18755,86,1997-03-15,31,365,2,4.58544388163157,53.9899037675975
"40017","canadian",1997,4,18759,70,1997-04-15,30,365,2,3.73154219308065,45.4004300158146
"40017","canadian",1997,5,18763,83,1997-05-15,31,365,2,4.42359963758461,52.0843183134962
"40017","canadian",1997,6,18767,92,1997-06-15,30,365,2,4.9022219853999,59.6437008223655
"40017","canadian",1997,7,18771,110,1997-07-15,31,365,2,5.86010335091364,68.997991067209
"40017","canadian",1997,8,18775,110,1997-08-15,31,365,2,5.85885486018642,68.9832910957433
"40017","canadian",1997,9,18779,101,1997-09-15,30,365,2,5.37834815485383,65.4365692173882
"40017","canadian",1997,10,18783,87,1997-10-15,31,365,2,4.6318479476122,54.5362742218856
