"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40017","canadian",1994,11,18292,85,1994-11-15,30,365,1,4.82707706286558,58.7294375981979
"40017","canadian",1994,12,18306,93,1994-12-15,31,365,1,5.28139019819411,62.1841103980919
"40017","canadian",1995,1,18321,68,1995-01-15,31,365,1,3.86166165029246,45.4679516889274
"40017","canadian",1995,2,18344,58,1995-02-15,28,365,1,3.29377023113181,42.9366476558253
"40017","canadian",1995,3,18368,78,1995-03-15,31,365,1,4.42955306945312,52.1544151725932
"40017","canadian",1995,4,18392,86,1995-04-15,30,365,1,4.88386620478165,59.4203721581767
"40017","canadian",1995,5,18416,86,1995-05-15,31,365,1,4.88386620478165,57.5035859595258
"40017","canadian",1995,6,18440,81,1995-06-15,30,365,1,4.59992049520132,55.9656993582827
"40017","canadian",1995,7,18464,90,1995-07-15,31,365,1,5.11102277244591,60.1781713529921
"40017","canadian",1995,8,18488,87,1995-08-15,31,365,1,4.94065534669771,58.1722323078924
"40017","canadian",1995,9,18512,96,1995-09-15,30,365,1,5.4517576239423,66.3297177579647
"40017","canadian",1995,10,18536,94,1995-10-15,31,365,1,5.33817934011017,62.8527567464585
"40017","canadian",1995,11,18560,76,1995-11-15,30,365,1,4.31597478562099,52.5110265583887
"40017","canadian",1995,12,18584,91,1995-12-15,31,365,1,5.16781191436197,60.8468177013587
"40017","canadian",1996,1,18608,76,1996-01-15,31,366,1,4.31597478562099,50.9563474689446
"40017","canadian",1996,2,18619,63,1996-02-15,29,366,2,3.57771594071214,45.1532425620911
"40017","canadian",1996,3,18631,83,1996-03-15,31,366,2,4.71349877903345,55.6496952621369
"40017","canadian",1996,4,18642,79,1996-04-15,30,366,2,4.48634221136919,54.7333749787041
"40017","canadian",1996,5,18654,92,1996-05-15,31,366,2,5.22460105627804,61.6839995676698
"40017","canadian",1996,6,18665,81,1996-06-15,30,366,2,4.59992049520132,56.1190300414561
"40017","canadian",1996,7,18677,81,1996-07-15,31,366,2,4.59992049520132,54.3087387497962
"40017","canadian",1996,8,18689,82,1996-08-15,31,366,2,4.65670963711738,54.9792170059665
"40017","canadian",1996,9,18700,76,1996-09-15,30,366,2,4.31597478562099,52.6548923845761
"40017","canadian",1996,10,18712,89,1996-10-15,31,366,2,5.05423363052984,59.6725647991588
"40017","canadian",1996,11,18723,64,1996-11-15,30,366,2,3.6345050826282,44.3409620080641
"40017","canadian",1996,12,18735,86,1996-12-15,31,366,2,4.88386620478165,57.6611300306478
"40017","canadian",1997,1,18747,75,1997-01-15,31,365,2,4.25918564370492,50.1484761274935
"40017","canadian",1997,2,18751,84,1997-02-15,28,365,2,4.77028792094951,62.1841103980919
"40017","canadian",1997,3,18755,86,1997-03-15,31,365,2,4.88386620478165,57.5035859595258
"40017","canadian",1997,4,18759,70,1997-04-15,30,365,2,3.9752399341246,48.3654191985159
"40017","canadian",1997,5,18763,83,1997-05-15,31,365,2,4.71349877903345,55.4976469144261
"40017","canadian",1997,6,18767,92,1997-06-15,30,365,2,5.22460105627804,63.5659795180495
"40017","canadian",1997,7,18771,110,1997-07-15,31,365,2,6.24680561076722,73.5510983203237
"40017","canadian",1997,8,18775,110,1997-08-15,31,365,2,6.24680561076722,73.5510983203237
"40017","canadian",1997,9,18779,101,1997-09-15,30,365,2,5.73570333352263,69.7843905578587
"40017","canadian",1997,10,18783,87,1997-10-15,31,365,2,4.94065534669771,58.1722323078924
"40017","canadian",1997,11,18787,84,1997-11-15,30,365,2,4.77028792094951,58.0385030382191
"40017","canadian",1997,12,18791,86,1997-12-15,31,365,2,4.88386620478165,57.5035859595258
"40017","canadian",1998,1,18796,77,1998-01-15,31,365,2,4.37276392753706,51.4857688242266
